"TIME","GEO","CITIZEN","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2010","France","VU","Total","Total","Person","0",""
"2010","France","KI","Total","Total","Person","0",""
"2010","France","MH","Total","Total","Person","0",""
"2010","France","FM","Total","Total","Person","0",""
"2010","France","NR","Total","Total","Person","0",""
"2010","France","PW","Total","Total","Person","0",""
"2010","France","CK","Total","Total","Person","0",""
"2010","France","WS","Total","Total","Person","0",""
"2010","France","TO","Total","Total","Person","0",""
"2010","France","TV","Total","Total","Person","0",""
"2010","France","TOTAL","Total","Total","Person","360",""
"2011","France","AO","Total","Total","Person","0",""
"2011","France","CM","Total","Total","Person","0",""
"2011","France","CF","Total","Total","Person","0",""
"2011","France","TD","Total","Total","Person","0",""
"2011","France","CG","Total","Total","Person","0",""
"2011","France","CD","Total","Total","Person","15",""
"2011","France","GQ","Total","Total","Person","0",""
"2011","France","GA","Total","Total","Person","0",""
"2011","France","ST","Total","Total","Person","0",""
"2011","France","BI","Total","Total","Person","0",""
"2011","France","KM","Total","Total","Person","0",""
"2011","France","DJ","Total","Total","Person","0",""
"2011","France","ER","Total","Total","Person","0",""
"2011","France","ET","Total","Total","Person","10",""
"2011","France","KE","Total","Total","Person","0",""
"2011","France","MG","Total","Total","Person","0",""
"2011","France","MW","Total","Total","Person","0",""
"2011","France","MU","Total","Total","Person","0",""
"2011","France","MZ","Total","Total","Person","0",""
"2011","France","RW","Total","Total","Person","0",""
"2011","France","SC","Total","Total","Person","0",""
"2011","France","SO","Total","Total","Person","0",""
"2011","France","UG","Total","Total","Person","0",""
"2011","France","TZ","Total","Total","Person","0",""
"2011","France","ZM","Total","Total","Person","0",""
"2011","France","ZW","Total","Total","Person","0",""
"2011","France","DZ","Total","Total","Person","0",""
"2011","France","EG","Total","Total","Person","0",""
"2011","France","LY","Total","Total","Person","0",""
"2011","France","MA","Total","Total","Person","0",""
"2011","France","SS","Total","Total","Person",":",""
"2011","France","SD","Total","Total","Person","0",""
"2011","France","TN","Total","Total","Person","0",""
"2011","France","EH","Total","Total","Person","0",""
"2011","France","BW","Total","Total","Person","0",""
"2011","France","LS","Total","Total","Person","0",""
"2011","France","NA","Total","Total","Person","0",""
"2011","France","ZA","Total","Total","Person","0",""
"2011","France","SZ","Total","Total","Person","0",""
"2011","France","BJ","Total","Total","Person","0",""
"2011","France","BF","Total","Total","Person","0",""
"2011","France","CV","Total","Total","Person","0",""
"2011","France","CI","Total","Total","Person","0",""
"2011","France","GM","Total","Total","Person","0",""
"2011","France","GH","Total","Total","Person","0",""
"2011","France","GN","Total","Total","Person","0",""
"2011","France","GW","Total","Total","Person","0",""
"2011","France","LR","Total","Total","Person","0",""
"2011","France","ML","Total","Total","Person","0",""
"2011","France","MR","Total","Total","Person","0",""
"2011","France","NE","Total","Total","Person","0",""
"2011","France","NG","Total","Total","Person","0",""
"2011","France","SN","Total","Total","Person","0",""
"2011","France","SL","Total","Total","Person","0",""
"2011","France","TG","Total","Total","Person","0",""
"2011","France","CA","Total","Total","Person","0",""
"2011","France","US","Total","Total","Person","0",""
"2011","France","AG","Total","Total","Person","0",""
"2011","France","BS","Total","Total","Person","0",""
"2011","France","BB","Total","Total","Person","0",""
"2011","France","CU","Total","Total","Person","0",""
"2011","France","DM","Total","Total","Person","0",""
"2011","France","DO","Total","Total","Person","0",""
"2011","France","GD","Total","Total","Person","0",""
"2011","France","HT","Total","Total","Person","0",""
"2011","France","JM","Total","Total","Person","0",""
"2011","France","KN","Total","Total","Person","0",""
"2011","France","LC","Total","Total","Person","0",""
"2011","France","VC","Total","Total","Person","0",""
"2011","France","TT","Total","Total","Person","0",""
"2011","France","BZ","Total","Total","Person","0",""
"2011","France","CR","Total","Total","Person","0",""
"2011","France","SV","Total","Total","Person","0",""
"2011","France","GT","Total","Total","Person","0",""
"2011","France","HN","Total","Total","Person","0",""
"2011","France","MX","Total","Total","Person","0",""
"2011","France","NI","Total","Total","Person","0",""
"2011","France","PA","Total","Total","Person","0",""
"2011","France","AR","Total","Total","Person","0",""
"2011","France","BO","Total","Total","Person","0",""
"2011","France","BR","Total","Total","Person","0",""
"2011","France","CL","Total","Total","Person","0",""
"2011","France","CO","Total","Total","Person","0",""
"2011","France","EC","Total","Total","Person","0",""
"2011","France","GY","Total","Total","Person","0",""
"2011","France","PY","Total","Total","Person","0",""
"2011","France","PE","Total","Total","Person","0",""
"2011","France","SR","Total","Total","Person","0",""
"2011","France","UY","Total","Total","Person","0",""
"2011","France","VE","Total","Total","Person","0",""
"2011","France","KZ","Total","Total","Person","0",""
"2011","France","KG","Total","Total","Person","0",""
"2011","France","TJ","Total","Total","Person","0",""
"2011","France","TM","Total","Total","Person","0",""
"2011","France","UZ","Total","Total","Person","0",""
"2011","France","CN","Total","Total","Person","0",""
"2011","France","JP","Total","Total","Person","0",""
"2011","France","MN","Total","Total","Person","0",""
"2011","France","KP","Total","Total","Person","0",""
"2011","France","KR","Total","Total","Person","0",""
"2011","France","TW","Total","Total","Person","0",""
"2011","France","AF","Total","Total","Person","5",""
"2011","France","BD","Total","Total","Person","0",""
"2011","France","BT","Total","Total","Person","0",""
"2011","France","IN","Total","Total","Person","0",""
"2011","France","IR","Total","Total","Person","0",""
"2011","France","MV","Total","Total","Person","0",""
"2011","France","NP","Total","Total","Person","0",""
